,key,year,value
714,Luxembourg,1800,1645.0
715,Luxembourg,1850,2351.0
716,Luxembourg,1900,4246.0
717,Luxembourg,1950,15551.0
718,Luxembourg,2000,99302.0
719,Luxembourg,2023,119615.0
720,Luxembourg,2050,197247.0
721,"Macedonia, FYR",1800,781.0
722,"Macedonia, FYR",1850,1001.0
723,"Macedonia, FYR",1900,1637.0
724,"Macedonia, FYR",1950,2716.0
725,"Macedonia, FYR",2000,10225.0
726,"Macedonia, FYR",2023,17415.0
727,"Macedonia, FYR",2050,34394.0
728,Madagascar,1800,649.0
729,Madagascar,1850,752.0
730,Madagascar,1900,957.0
731,Madagascar,1950,1762.0
732,Madagascar,2000,1614.0
733,Madagascar,2023,1596.0
734,Madagascar,2050,2943.0
735,Malawi,1800,396.0
736,Malawi,1850,400.0
737,Malawi,1900,402.0
738,Malawi,1950,600.0
739,Malawi,2000,1127.0
740,Malawi,2023,1516.0
741,Malawi,2050,2825.0
742,Malaysia,1800,1117.0
743,Malaysia,1850,1181.0
744,Malaysia,1900,951.0
745,Malaysia,1950,2889.0
746,Malaysia,2000,15917.0
747,Malaysia,2023,29891.0
748,Malaysia,2050,56833.0
749,Maldives,1800,953.0
750,Maldives,1850,953.0
751,Maldives,1900,949.0
752,Maldives,1950,1792.0
753,Maldives,2000,13358.0
754,Maldives,2023,18706.0
755,Maldives,2050,38149.0
756,Mali,1800,683.0
757,Mali,1850,692.0
758,Mali,1900,703.0
759,Mali,1950,846.0
760,Mali,2000,1628.0
761,Mali,2023,2255.0
762,Mali,2050,3952.0
763,Malta,1800,884.0
764,Malta,1850,1168.0
765,Malta,1900,1846.0
766,Malta,1950,1829.0
767,Malta,2000,27483.0
768,Malta,2023,45370.0
769,Malta,2050,85075.0
770,Marshall Islands,1800,610.0
771,Marshall Islands,1850,629.0
772,Marshall Islands,1900,649.0
773,Marshall Islands,1950,1531.0
774,Marshall Islands,2000,3336.0
775,Marshall Islands,2023,3974.0
776,Marshall Islands,2050,6471.0
777,Mauritania,1800,597.0
778,Mauritania,1850,692.0
779,Mauritania,1900,734.0
780,Mauritania,1950,789.0
781,Mauritania,2000,4274.0
782,Mauritania,2023,5426.0
783,Mauritania,2050,10246.0
784,Mauritius,1800,1064.0
785,Mauritius,1850,1234.0
786,Mauritius,1900,1570.0
787,Mauritius,1950,4582.0
788,Mauritius,2000,11891.0
789,Mauritius,2023,22671.0
790,Mauritius,2050,44706.0
791,Mexico,1800,1517.0
792,Mexico,1850,1225.0
793,Mexico,1900,2118.0
794,Mexico,1950,4080.0
795,Mexico,2000,17757.0
796,Mexico,2023,19098.0
797,Mexico,2050,31525.0
798,"Micronesia, Fed. Sts.",1800,586.0
799,"Micronesia, Fed. Sts.",1850,605.0
800,"Micronesia, Fed. Sts.",1900,624.0
801,"Micronesia, Fed. Sts.",1950,1319.0
802,"Micronesia, Fed. Sts.",2000,3434.0
803,"Micronesia, Fed. Sts.",2023,3343.0
804,"Micronesia, Fed. Sts.",2050,5362.0
805,Moldova,1800,703.0
806,Moldova,1850,830.0
807,Moldova,1900,1369.0
808,Moldova,1950,3357.0
809,Moldova,2000,5074.0
810,Moldova,2023,14963.0
811,Moldova,2050,38409.0
812,Monaco,1800,2205.0
813,Monaco,1850,3209.0
814,Monaco,1900,5736.0
815,Monaco,1950,12573.0
816,Monaco,2000,56830.0
817,Monaco,2023,72382.0
818,Monaco,2050,118128.0
819,Mongolia,1800,670.0
820,Mongolia,1850,708.0
821,Mongolia,1900,840.0
822,Mongolia,1950,787.0
823,Mongolia,2000,3413.0
824,Mongolia,2023,12299.0
825,Mongolia,2050,24204.0
826,Montenegro,1800,1197.0
827,Montenegro,1850,1534.0
828,Montenegro,1900,2134.0
829,Montenegro,1950,2280.0
830,Montenegro,2000,12419.0
831,Montenegro,2023,22163.0
832,Montenegro,2050,41649.0
833,Morocco,1800,808.0
834,Morocco,1850,936.0
835,Morocco,1900,1227.0
836,Morocco,1950,2696.0
837,Morocco,2000,4371.0
838,Morocco,2023,7702.0
839,Morocco,2050,13892.0
840,Morocco,1700,497.61840365085885
841,Morocco,1750,497.4322943625443
842,Mozambique,1800,442.0
843,Mozambique,1850,455.0
844,Mozambique,1900,469.0
845,Mozambique,1950,391.0
846,Mozambique,2000,631.0
847,Mozambique,2023,1257.0
848,Mozambique,2050,3591.0
849,Myanmar,1800,933.0
850,Myanmar,1850,933.0
851,Myanmar,1900,1281.0
852,Myanmar,1950,734.0
853,Myanmar,2000,949.0
854,Myanmar,2023,4095.0
855,Myanmar,2050,7583.0
856,Namibia,1800,611.0
857,Namibia,1850,960.0
858,Namibia,1900,2024.0
859,Namibia,1950,4660.0
860,Namibia,2000,6805.0
861,Namibia,2023,8986.0
862,Namibia,2050,14293.0
863,Nauru,1800,627.0
864,Nauru,1850,727.0
865,Nauru,1900,925.0
866,Nauru,1950,4580.0
867,Nauru,2000,7118.0
